,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Wide & Deep Learning: Better Together with TensorFlow,Ordering coffee in Italy: the 10 commandments,Text summarization with TensorFlow,"Bots, Messenger and the future of customer service",Como a Microsoft está trabalhando com o conceito de IoT - Startupi
-8771338872124599367,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,"Hello, TensorFlow!","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","Google, Amazon and the upcoming battle over AI Assistants",How Netflix does A/B Testing - uxdesign.cc - User Experience Design
-8757701761088346244,Promises | Web Fundamentals - Google Developers,Squads não-suicidas - Hipsters #08,The Definitive Guide to Database Version Control,The five phases of migrating to Google Cloud Platform,The next wave in software is open adoption software,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi
-8742648016180281673,Aposta na inovação,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",The AI business landscape,Wide & Deep Learning: Better Together with TensorFlow,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Google's Cloud Machine Learning service is now in public beta
-8717945432162716060,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,How Coca-Cola Is Harvesting Innovation Energy From Startups,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",O manual do deboísta corporativo,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",How to Get a Job at Google
-8657415528200615063,WebAssembly Browser Preview,Acesse a versão Material Design do YouTube | Google Discovery,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Progressive Web App - first introduced on Google I/O | airberlin,How I sped up the initial render of my Polymer app by 86%,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
-8627051188605351707,When to make a Git Commit,Mastering Bash and Terminal,"What do you mean by ""Event-Driven""?",Don't document your code. Code your documentation.,Seniority,What makes a good (Android) Software Engineer
-8618420761918493321,What the Google I/O schedule tells us about the future of Android,"Google acquires Synergyse, an interactive training service for Google Apps",Designing smart notifications,AI Is Here to Help You Write Emails People Will Actually Read,Building more accessible technology,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
-8606063418076691067,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Standing on the Shoulders of Giants - Built to Adapt,Kotlin no Backend (Parte 2) :: Concrete Solutions,On Orchestrated Microservices - Built to Adapt,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
-8518096793350810174,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull,Shopping app Spring's redesign could be a game-changer,The barbell effect of machine learning.,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"No, Apple isn't the next BlackBerry - it's the next Microsoft"
-8512461968928613053,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,The Business Case for Progressive Web Apps,Leveling Up Your JavaScript -,19 Tips For Everyday Git Use,"Bots, Messenger and the future of customer service",The five phases of migrating to Google Cloud Platform
-8511291357261863413,Dark Scrum,Lists are the new search,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Graduação já não garante uma carreira de sucesso em TI - CIO,The Importance of Code Reviews,The barbell effect of machine learning.
-8508606815368130888,Revista PROGRAMAR nº 53 - Agosto de 2016,Google lança experimentos com inteligência artificial | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,The moment when you realize every server in the world is vulnerable - Free Code Camp,Introduction · Bitcoin para Programadores,Live asynchronously.
-8467102776052559275,Creating Your Code Review Checklist - DaedTech,Serverless real-time architecture on AWS: there is a way !,Angular 2 versus React: There Will Be Blood - Free Code Camp,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Cloud Native Part 1: Definition,The Children's Illustrated Guide to Kubernetes
-8404657131309965885,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Par de alianças impede que seu parceiro assista Netflix sem você,Measuring email effectiveness in retail banking,Evernote anuncia integração com Google Drive | Google Discovery,Inbox by Gmail ganha formatação de texto | Google Discovery,Google lags behind Amazon and Microsoft's cloud in one important area
-8381230866408697127,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,The Ten Commandments of Egoless Programming,The hardest thing in computer science,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek
-8377626164558006982,Bad Writing Is Destroying Your Company's Productivity,Text summarization with TensorFlow,Graph Capabilities with the Elastic Stack,Google's Cloud Machine Learning service is now in public beta,AI Is Here to Help You Write Emails People Will Actually Read,The AI business landscape
-8370744479086515302,Mobile banking conquista o coração dos brasileiros,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Is FinTech Forcing Banking to a Tipping Point?
-8369610219380465981,Nintendo has doubled in value since Pokémon Go's release,Spark comparison: AWS vs. GCP,Two Different Sales Motions . . . .,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Can Accenture Take Over Advertising?,Blaise Agüera y Arcas: How computers are learning to be creative
-8340365043226490059,big data = real time,Especial: O papel dos grandes provedores de TI na Rio 2016,Piloto de caça criado por inteligência artificial vence humano em combate simulado,The Difference Between Sympathy And Empathy - Expanded Consciousness,Mobile marketing statistics 2016,Comercial japonês cria cidade de papel com caneta que conduz eletricidade
-8314629309720421219,Hacked Website Report - 2016/Q3,Drupal and ambitious digital experiences,"What do you mean by ""Event-Driven""?",Burger King aceita pedidos via mensagens no Facebook - Startupi,What Color is Your Function?,Why Is Learning Drupal Hard?
-8287402887944984163,Containers are not VMs,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",19 Tips For Everyday Git Use,Chatbots: Are they better without the chat?,Contêiner do Windows no Windows 10,Iniciando com o Docker: Criando suas próprias imagens - Tableless
-8279505492976427918,"Bots, Messenger and the future of customer service","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Wide & Deep Learning: Better Together with TensorFlow,Ordering coffee in Italy: the 10 commandments,Cracking the Job Interview with TensorFlow,Text summarization with TensorFlow
-8258529658421542282,Vision API - Image Content Analysis,Bots won't replace apps. Better apps will replace apps.,System Code Geeks are giving away a FREE Sublime Text Editor License,Making open source data more available,Google's Cloud Machine Learning service is now in public beta,Containers are not VMs
-8243488279185272615,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Goodbye accountants! Startup builds AI to automate all your accounting,CMN regulamenta abertura de conta de depósito por meio eletrônico,Assessing Salesforce's platform and ecosystem | ZDNet,Creating value in auto finance with vLendRight | Kevin Moseri,Banking Needs a Customer Experience Wake-Up Call
-8208801367848627943,Ray Kurzweil: The world isn't getting worse - our information is getting better,"Microsoft adquire LinkedIn por US$ 26,2 bilhões","Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",The Future of Digital Banking is Now,Mobile marketing statistics 2016,The barbell effect of machine learning.
-8204817396973648779,"curso de branding, diferenciação e estratégia de marca","Google launches Springboard, an AI-powered assistant for its enterprise customers",Branding é problema seu. E meu.,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Google researchers teach AIs to see the important parts of images - and tell you about them
-8190931845319543363,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Why image recognition is about to transform business,The economic essentials of digital strategy,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Spark comparison: AWS vs. GCP
-8189315446782327370,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The barbell effect of machine learning.,Lists are the new search,This Super Accurate Portrait Selection Tech Uses Neural Networks,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Artificial intelligence is changing SEO faster than you think
-8187220755213888616,Organizing for digital acceleration: Making a two-speed IT operating model work,Especial: O papel dos grandes provedores de TI na Rio 2016,Can Accenture Take Over Advertising?,Governo define cronograma para plano nacional de Internet das Coisas,Latin America's chronic inefficiency could drive more O2O commerce growth,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
-8159730897893673528,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",An overview of web service solutions in Drupal 8,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",The surprising truth about which countries lead in digital,Multi-Channel Marketing in 2015 - It's not rocket science.
-8142426490949346803,A identidade visual de Budapeste para as Olimpíadas de 2024,The compelling case to replace a 40-year old core system - Chris Skinner's blog,The Drive to Bank on Digital,#FinTech is all about human-centred design - Chris Skinner's blog,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Empresa britânica adota licença remunerada no período menstrual
-8085935119790093311,Graph Capabilities with the Elastic Stack,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",The AI business landscape,Kubernetes,Bad Writing Is Destroying Your Company's Productivity,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match
-8043889175123948305,Dicas avançadas de ruby (capybara/cucumber),BDD Best Practices and Guidelines - Testing Excellence,Sua comunidade de Teste.,Como Usar o Git e o GitHub,Cookbook,Agile: Falta competência nos testes
-8018192200278263695,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly
-7986975759046428357,It's The Future,Programming by poking: why MIT stopped teaching SICP,Berners-Lee quer criar outra Web,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The barbell effect of machine learning.,Lists are the new search
-7891293130731329672,Sobre o Hipsters Ponto Tech,bliki: StranglerApplication,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Eclipse Foundation Releases Neon,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Criando ícones animados no Android
-7862677531530632089,11 incredible ways UK businesses are using chatbots,"Telecoms open shop on Madison Avenue, but will brands buy?",Accidental discovery could help batteries last years longer,The AI business landscape,Making open source data more available,Announcing .NET Core 1.0
-7838000919054582150,Festival de Fotografia Hercule Florence - Timeline | Facebook,"Google acquires Synergyse, an interactive training service for Google Apps",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Susep divulga nota de esclarecimento sobre a Youse Seguros,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",AI Is Here to Help You Write Emails People Will Actually Read
-7826213337362450520,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,#Sentaquelávemtextão,Gartner Reprint,Shopping em BH terá fazenda urbana de 2.700 m²,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão
-7812176982819372240,Sete Reinos,Acesse a versão Material Design do YouTube | Google Discovery,How I sped up the initial render of my Polymer app by 86%,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Starbucks tem mais dinheiro do cliente em cartões do que bancos
-7809508238092432842,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",Lists are the new search
-7722236679806608274,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",Eclipse Foundation Releases Neon,gotwarlost/istanbul,Micro Profile JavaEE com Wildfly Swarm,bliki: StranglerApplication,Sobre o Hipsters Ponto Tech
-7681408188643141872,The End Of Apps As We Know Them - Inside Intercom,Cross-channel user experiences with Drupal,You won't recognize the new world of digital payments without this report,Meet the new Brazilian consumer,WeChat's competitor to Slack has arrived,A New Number Format for Computers Could Nuke Approximation Errors for Good
-7660505434580831027,Empresa britânica adota licença remunerada no período menstrual,A importância dos filmes de mulherzinha - Capitolina,Criadas para casar,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Promoting gender equality through emoji �� ��,#iLookLikeAnEngineer: One Year Later
-7646922141533719881,Using Microservices Architecture as API Enablement Strategy,How to build cross-platform mobile apps using nothing more than a JSON markup,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,"What do you mean by ""Event-Driven""?",Hype Driven Development,Arquitetura de Microserviços habilitando APIs - Sensedia
-7623502978685822577,"Don't Start Big, Start a Little Snowball",Client-side ranking to more efficiently show people stories in feed,Blaise Agüera y Arcas: How computers are learning to be creative,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Dark Scrum,Mobify report reveals impact of mobile website speed
-7613994611628693820,CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
-7570652411388243006,The compelling case to replace a 40-year old core system - Chris Skinner's blog,The Drive to Bank on Digital,A identidade visual de Budapeste para as Olimpíadas de 2024,#FinTech is all about human-centred design - Chris Skinner's blog,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,Measuring email effectiveness in retail banking
-7566966163569468290,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Artificial intelligence produces realistic sounds that fool humans,Blaise Agüera y Arcas: How computers are learning to be creative,Google researchers teach AIs to see the important parts of images - and tell you about them,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Transfer Style But Not Color
-7564569805639737618,Programação Reativa Funcional com RxJava,Android Developers Summer Reading List,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,"Incrível, Skype se lembrou que o Linux existe!"
-7553931975579248065,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The Difference Between Sympathy And Empathy - Expanded Consciousness,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,One Dollar Board: Um projeto brasileiro para revolucionar a educação
-7539387928750597096,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Lentes de contato inteligentes serão o wearable definitivo,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects
-7518373517401484139,My favorite people and resources to learn Android programming from,Angular 2 versus React: There Will Be Blood - Free Code Camp,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Advanced Android Espresso,Android Studio 2.2
-7508055250504867652,Cia. Hering sincroniza diferentes marcas em um único portal de compras,"Amazon open-sources its own deep learning software, DSSTNE",As compras e os hábitos dos brasileiros no shopping | EXAME.com,Por que o Walmart não é Walmart no Brasil,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Mercado de Cosméticos no Brasil - Setor que não conhece crise!
-7492067511846042603,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Migrating from Parse to Bluemix,Alecrim/AlecrimCoreData,Why porting an iOS design to Android will not work,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Exploring Java's Hidden Costs
-7463305179076477879,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Who sponsors Drupal development? | Dries Buytaert,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Two Different Sales Motions . . . .,The End Of Apps As We Know Them - Inside Intercom
-7423191370472335463,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Using DiffUtil in Android RecyclerView,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Advanced Android Espresso,Android Developers Summer Reading List,"Incrível, Skype se lembrou que o Linux existe!"
-7399665664688732365,Touch (TV Series 2012-2013),"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Text summarization with TensorFlow,Nubank e Goldman fecham parceria de R$ 200 milhões,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Wide & Deep Learning: Better Together with TensorFlow
-7387185690512762935,Angular 2 versus React: There Will Be Blood - Free Code Camp,My favorite people and resources to learn Android programming from,Creating Your Code Review Checklist - DaedTech,Serverless real-time architecture on AWS: there is a way !,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
-7342604649736473979,Docker 1.12: Now with Built-in Orchestration!,The Netflix Tech Blog: Netflix Billing Migration to AWS,Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!,Decentralizing IoT networks through blockchain,Using behavioral data to improve customer satisfaction
-7331393944609614247,Here's proof that Google is getting serious about battling Facebook in a key area,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Evernote anuncia integração com Google Drive | Google Discovery,"How I built an app with 500,000 users in 5 days on a $100 server",Rewiring Citi for the digital age,Google Cloud Goes to the Farm
-7294716554902079523,Usando o git add interativo,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Advanced Android Espresso,15 Awesome Sublime Text Plugins For Web Development,Machine Learning Is No Longer Just for Experts,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement"
-7264217791213422584,Qual é o valor da área de T&D na sua empresa?,Digital Health Coaching,4 Reasons Managers Should Spend More Time on Coaching,Former Google career coach shares a visual trick for figuring out what to do with your life,Lean IT is all about people - o Lean na TI é focado em pessoas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade
-7217198366041991957,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"No dia das mães, Avon lança campanha com mãe de jovem gay","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio
-7169261479876586557,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,The Internet of Things is looking for its VisiCalc,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Evernote anuncia integração com Google Drive | Google Discovery
-7162567255723313045,Chatbots: Are they better without the chat?,Google lança YouTube Kids no Brasil | Google Discovery,Bots won't replace apps. Better apps will replace apps.,Machine Learning Is No Longer Just for Experts,Most Interesting APIs in 2016: Cognitive Computing,Containers are not VMs
-7126520323752764957,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The AI business landscape,Introduction to Natural Language Processing - University of Michigan | Coursera,"Hello, TensorFlow!","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",6 reasons why I like KeystoneML
-7120369133608664808,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,The future of the shopping mall,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"Google, Amazon and the upcoming battle over AI Assistants"
-7113155163062752691,Arquitetura de Microserviços habilitando APIs - Sensedia,Communication patterns in a Microservice world,How to build cross-platform mobile apps using nothing more than a JSON markup,Using Microservices Architecture as API Enablement Strategy,Discutindo Devops na Prática,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
-7047448754687279385,Plano nacional de ''internet das coisas'' sai em fevereiro,Using DiffUtil in Android RecyclerView,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Most Interesting APIs in 2016: Cognitive Computing,Google lança experimentos com inteligência artificial | Google Discovery,bliki: StranglerApplication
-6999287066519531005,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Dries Buytaert,Johnson & Johnson comprará grupo suíço por US$ 30 bi,Facebook's WhatsApp does something very different than Google
-6980020268309524947,Cross-channel user experiences with Drupal,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",The return of the machinery question,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
-6872546942144599345,My experience with Google's Associate Android Developer Certification,Jenkins 2.0 is here!,Using DiffUtil in Android RecyclerView,Listas com RecyclerView - Android Dev BR,Modelando APIs REST com Swagger,How Do Top Android Developers QA Test Their Apps?
-6858665134018491791,Chat Smarter with Allo,Scrum Community - Scrum Alliance,Will blockchain drive the fourth Industrial Revolution?,The rise of APIs,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
